,Unnamed: 0,word,word_onsets,word_offsets,cloze_pre_rep,cloze_post_rep,cloze_MemEffect_rep,boundary,agreement
76,76,dean,44.22500006469726,44.41500007690429,0.06,0.32,0.26,,
77,77,mcgowan,44.41500007690429,44.92499999633788,0.3,0.72,0.42,,
78,78,is,45.464999974365234,45.61500008789062,0.02,0.26,0.24,,
79,79,it,45.61500008789062,45.685000045166014,0.24,0.5,0.26,,
80,80,true,45.685000045166014,46.10499996826172,0.38,0.62,0.24,,
81,81,that,46.10499996826172,46.215000003662105,0.88,0.9,0.02,,
82,82,fordham,46.215000003662105,46.534999910888665,0.0,0.16,0.16,,
83,83,university,46.534999910888665,47.02499997070312,0.38,0.48,0.0999999999999999,,
84,84,plans,47.02499997070312,47.31499999877929,0.0,0.16,0.16,,
85,85,to,47.31499999877929,47.44500007324218,0.88,0.92,0.04,,
86,86,raise,47.44500007324218,47.7250000817871,0.02,0.24,0.22,,
87,87,tuition,47.7250000817871,48.12499996582031,0.18,0.52,0.34,,
88,88,substantially,48.12499996582031,48.85499995605469,0.0,0.14,0.14,,
89,89,above,48.85499995605469,49.065000007324215,0.0,0.22,0.22,,
90,90,the,49.065000007324215,49.175000042724605,0.7,0.66,-0.0399999999999999,,
91,91,inflation,49.175000042724605,49.6649999230957,0.0,0.32,0.32,,
92,92,rate,49.6649999230957,49.91500005249023,0.62,0.68,0.06,,
93,93,and,50.09500004516601,50.21499992065429,0.06,0.32,0.26,,
94,94,if,50.21499992065429,50.30499991699218,0.02,0.2,0.18,,
95,95,so,50.30499991699218,50.92500005126953,0.34,0.52,0.18,,
96,96,wouldnt,51.1349999230957,51.43499997070312,0.0,0.18,0.18,,
97,97,that,51.43499997070312,51.54500000610352,0.28,0.64,0.36,,
98,98,be,51.54500000610352,51.6350000024414,0.4,0.62,0.2199999999999999,,
99,99,a,51.6350000024414,51.66500006103515,0.1,0.34,0.24,,
100,100,betrayal,51.66500006103515,52.234999918212885,0.0,0.22,0.22,,
101,101,of,52.234999918212885,52.32499991455077,0.54,0.66,0.12,,
102,102,its,52.32499991455077,52.46500000854492,0.0,0.2,0.2,,
103,103,mission,52.46500000854492,52.95500006835937,0.04,0.26,0.22,1.0,0.32195121951219513
104,104,and,54.744999975585934,54.85500001098632,0.02,0.22,0.2,,
105,105,he,54.85500001098632,54.92499996826172,0.0,0.2,0.2,,
106,106,stops,54.92499996826172,55.52500006347656,0.0,0.16,0.16,,
107,107,and,55.52500006347656,55.64499993896484,0.38,0.74,0.36,,
108,108,looks,55.64499993896484,55.84499997070312,0.28,0.34,0.06,,
109,109,at,55.84499997070312,55.90500008789062,0.8,0.8,0.0,,
110,110,me,55.90500008789062,56.26500007324218,0.8,0.86,0.0599999999999999,,
111,111,and,57.02499994262695,57.28499991210937,0.7,0.9,0.2,,
112,112,he,57.20499993530273,57.34500002929687,0.08,0.14,0.06,,
113,113,says,57.26500005249023,57.82500006958007,0.52,0.64,0.12,,
114,114,listen,58.66499991577148,58.90500002563476,0.0,0.36,0.36,,
115,115,up,58.90500002563476,59.08500001831055,0.0,0.26,0.26,,
116,116,punk,59.08500001831055,59.5149999609375,0.0,0.52,0.52,,
117,117,and,59.835000047607416,59.99500000122069,0.04,0.52,0.48,,
118,118,right,59.99500000122069,60.24499995117186,0.0,0.16,0.16,,
119,119,then,60.24499995117186,60.58500007690429,0.18,0.48,0.3,,
120,120,theres,60.58500007690429,60.79499994873046,0.0,0.14,0.14,,
121,121,a,60.79499994873046,60.82500000732422,0.52,0.7,0.1799999999999999,,
122,122,blur,60.82500000732422,61.69499991210937,0.0,0.26,0.26,,
123,123,in,61.83500000610351,61.9450000415039,0.24,0.34,0.1,,
124,124,the,61.9450000415039,62.00499997924804,0.36,0.66,0.3,,
125,125,corner,62.00499997924804,62.26499994873047,0.08,0.6,0.52,,
126,126,of,62.26499994873047,62.32500006591796,0.84,0.88,0.04,,
127,127,my,62.32500006591796,62.4950000390625,0.66,0.78,0.12,,
128,128,eye,62.4950000390625,62.64499997314452,0.68,0.8,0.12,,
129,129,which,62.64499997314452,62.81499994628906,0.04,0.18,0.1399999999999999,,
130,130,becomes,62.81499994628906,63.245000068359374,0.02,0.16,0.14,,
131,131,this,63.245000068359374,63.52500007690429,0.0,0.16,0.16,,
132,132,figure,63.52500007690429,64.32500002441405,0.0,0.2,0.2,,
133,133,holding,64.58499999389649,64.9750000378418,0.0,0.18,0.18,,
134,134,a,64.9750000378418,65.03499997558593,0.76,0.88,0.12,,
135,135,cream,65.03499997558593,65.35500006225585,0.0,0.38,0.38,,
136,136,pie,65.35500006225585,65.70500002807617,0.18,0.82,0.6399999999999999,,
137,137,which,65.70500002807617,65.90500005981444,0.04,0.24,0.1999999999999999,,
138,138,becomes,65.90500005981444,66.3149999633789,0.0,0.14,0.14,,
139,139,the,66.3149999633789,66.39499994018554,0.04,0.18,0.1399999999999999,,
140,140,guy,66.39499994018554,67.09500005126952,0.02,0.12,0.0999999999999999,,
141,141,standing,67.28500006347656,67.89499999877928,0.0,0.14,0.14,,
142,142,next,67.89499999877928,68.16499998779297,0.28,0.46,0.18,,
143,143,to,68.16499998779297,68.2650000036621,0.88,0.96,0.0799999999999999,,
144,144,me,68.2650000036621,68.66500006713866,0.58,0.64,0.06,,
145,145,mashing,69.02500005249023,69.67500006591796,0.0,0.16,0.16,,
146,146,a,69.67500006591796,69.72499998413086,0.04,0.32,0.28,,
147,147,cream,69.72499998413086,70.11500002807617,0.08,0.54,0.46,,
148,148,pie,70.11500002807617,70.56500000976563,0.8,0.92,0.12,,
149,149,into,70.56500000976563,70.75500002197265,0.4,0.56,0.16,,
150,150,dean,70.75500002197265,71.01499999145507,0.2,0.54,0.34,,
151,151,mcgowans,71.01499999145507,71.48500001220702,0.36,0.66,0.3,,
152,152,face,71.48500001220702,72.01499997070312,0.82,0.92,0.1,1.0,0.3073170731707317
153,153,and,73.60500002563477,73.89500005371093,0.46,0.64,0.18,,
154,154,and,73.94499997192382,74.11499994506835,0.0,0.04,0.04,,
155,155,then,74.11499994506835,74.22499998046874,0.12,0.3,0.18,,
156,156,runs,74.22499998046874,74.52500002807616,0.02,0.2,0.18,,
157,157,away,74.52500002807616,74.82500007568359,0.56,0.64,0.0799999999999999,,
158,158,and,77.4950000866699,77.66500005981445,0.02,0.28,0.26,,
159,159,the,77.66500005981445,77.94500006835936,0.06,0.24,0.18,,
160,160,dean,77.94500006835936,78.58500006225584,0.5,0.72,0.2199999999999999,,
161,161,is,78.84500003173828,79.20500001708983,0.18,0.34,0.16,,
162,162,covered,79.20500001708983,79.5249999243164,0.18,0.44,0.26,,
